state,city,RDPC
MG,Botumirim/MG,230.25
BA,Botuporã/BA,235.16
SC,Botuverá/SC,805.77
RS,Bozano/RS,982.06
RS,Braga/RS,475.39
PR,Braganey/PR,580.75
SP,Bragança Paulista/SP,974.08
PA,Bragança/PA,311.97
AL,Branquinha/AL,221.93
PA,Brasil Novo/PA,408.55
PI,Brasileira/PI,281.71
MG,Brasilândia de Minas/MG,444.35
PR,Brasilândia do Sul/PR,550.58
TO,Brasilândia do Tocantins/TO,428.48
MS,Brasilândia/MS,709.29
AC,Brasiléia/AC,376.07
MT,Brasnorte/MT,602.75
MG,Brasília de Minas/MG,360.93
DF,Brasília/DF,1715.11
GO,Brazabrantes/GO,541.9
MG,Brazópolis/MG,613.88
SC,Braço do Norte/SC,831.77
SC,Braço do Trombudo/SC,941.12
SP,Braúna/SP,726.71
MG,Braúnas/MG,416.84
ES,Brejetuba/ES,402.56
TO,Brejinho de Nazaré/TO,414.87
PE,Brejinho/PE,266.21
RN,Brejinho/RN,304.8
SP,Brejo Alegre/SP,631.02
PA,Brejo Grande do Araguaia/PA,310.08
SE,Brejo Grande/SE,197.69
CE,Brejo Santo/CE,325.64
PE,Brejo da Madre de Deus/PE,296.7
MA,Brejo de Areia/MA,187.95
PB,Brejo do Cruz/PB,287.2
PI,Brejo do Piauí/PI,218.15
PB,Brejo dos Santos/PB,267.6
MA,Brejo/MA,200.25
BA,Brejolândia/BA,221.22
PE,Brejão/PE,230.85
BA,Brejões/BA,261.14
PA,Breu Branco/PA,252.31
PA,Breves/PA,209.14
GO,Britânia/GO,594.38
RS,Brochier/RS,720.21
SP,Brodowski/SP,787.91
BA,Brotas de Macaúbas/BA,247.49
SP,Brotas/SP,722.76
MG,Brumadinho/MG,910.31
BA,Brumado/BA,403.22
SC,Brunópolis/SC,446.48
SC,Brusque/SC,1116.93
MG,Brás Pires/MG,299.02
MG,Bueno Brandão/MG,491.08
PE,Buenos Aires/PE,254.03
MG,Buenópolis/MG,456.55
BA,Buerarema/BA,343.23
MG,Bugre/MG,338.39
AC,Bujari/AC,340.95
PA,Bujaru/PA,174.18
SP,Buri/SP,435.15
SP,Buritama/SP,779.78
GO,Buriti Alegre/GO,625.26
MA,Buriti Bravo/MA,229.21
GO,Buriti de Goiás/GO,650.67
TO,Buriti do Tocantins/TO,287.05
PI,Buriti dos Lopes/PI,236.13
PI,Buriti dos Montes/PI,212.72
MA,Buriti/MA,157.21
MA,Buriticupu/MA,220.64
GO,Buritinópolis/GO,735.72
BA,Buritirama/BA,184.53
MA,Buritirana/MA,230.11
MG,Buritis/MG,505.59
RO,Buritis/RO,458.05
SP,Buritizal/SP,817.16
MG,Buritizeiro/MG,340.72
RS,Butiá/RS,590.45
PE,Buíque/PE,176.76
SP,Bálsamo/SP,832.51
AM,Caapiranga/AM,235.49
PB,Caaporã/PB,268.46
MS,Caarapó/MS,537.01
BA,Caatiba/BA,293.78
BA,Cabaceiras do Paraguaçu/BA,209.45
PB,Cabaceiras/PB,283.93
MG,Cabeceira Grande/MG,424.47
PI,Cabeceiras do Piauí/PI,229.86
GO,Cabeceiras/GO,420.47
PB,Cabedelo/PB,1036.21
RO,Cabixi/RO,457.17
RJ,Cabo Frio/RJ,815.75
MG,Cabo Verde/MG,571.6
